network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
600:8801:9400:5a1:948b:ab15:dde3:61a3/128,6252001,,,0,0
2000:db8::/32,6252001,,,0,0
2001:200::/32,1861060,1861060,,0,0
2001:208::/32,1880251,1880251,,0,0
2001:218::/32,1861060,1861060,,0,0
2001:220::/32,1835841,1835841,,0,0
2001:230::/32,1835841,1835841,,0,0
2001:238::/32,1668284,1668284,,0,0
2001:240::/32,1861060,1861060,,0,0
2001:250::/31,1814991,1814991,,0,0
2001:252::/32,1814991,1814991,,0,0
2001:254::/32,1814991,1814991,,0,0
2001:256::/32,1814991,1814991,,0,0
2001:258::/32,1861060,1861060,,0,0
2001:260::/32,1861060,1861060,,0,0
2001:268::/32,1861060,1861060,,0,0
2001:270::/32,1835841,1835841,,0,0
2001:278::/32,1861060,1861060,,0,0
2001:280::/32,1835841,1835841,,0,0
2001:288::/33,1668284,1668284,,0,0
2001:288:8000::/39,1668284,1668284,,0,0
2001:288:8200::/42,1668284,1668284,,0,0
2001:288:8240::/43,1668284,1668284,,0,0
2001:288:8260::/44,1668284,1668284,,0,0
2001:288:8270::/46,1668284,1668284,,0,0
2001:288:8274::/47,1668284,1668284,,0,0
2001:288:8276::/49,6252001,1668284,,0,0
2001:288:8276:8000::/49,1668284,1668284,,0,0
2001:288:8277::/48,1668284,1668284,,0,0
2001:288:8278::/45,1668284,1668284,,0,0
2001:288:8280::/41,1668284,1668284,,0,0
2001:288:8300::/40,1668284,1668284,,0,0
2001:288:8400::/38,1668284,1668284,,0,0
2001:288:8800::/37,1668284,1668284,,0,0
2001:288:9000::/36,1668284,1668284,,0,0
2001:288:a000::/35,1668284,1668284,,0,0
2001:288:c000::/34,1668284,1668284,,0,0
2001:290::/32,1835841,1835841,,0,0
2001:298::/32,1861060,1861060,,0,0
2001:2a0::/32,1861060,1861060,,0,0
2001:2a8::/32,1861060,1861060,,0,0
2001:2b0::/32,1835841,1835841,,0,0
2001:2b8::/31,1835841,1835841,,0,0
2001:2c0::/32,1861060,1861060,,0,0
2001:2c8::/32,1861060,1861060,,0,0
2001:2d8::/32,1835841,1835841,,0,0
2001:2e0::/32,1819730,1819730,,0,0
2001:2e8::/32,1861060,1861060,,0,0
2001:2f0::/32,1861060,1861060,,0,0
2001:2f8::/32,1861060,1861060,,0,0
2001:300::/32,1861060,1861060,,0,0
2001:308::/32,1861060,1861060,,0,0
2001:310::/32,1861060,1861060,,0,0
2001:318::/32,1861060,1861060,,0,0
2001:320::/32,1835841,1835841,,0,0
2001:330::/32,1835841,1835841,,0,0
2001:338::/32,1861060,1861060,,0,0
2001:340::/32,1861060,1861060,,0,0
2001:348::/32,1861060,1861060,,0,0
2001:350::/32,1861060,1861060,,0,0
2001:358::/32,1861060,1861060,,0,0
2001:360::/32,2077456,2077456,,0,0
2001:368::/32,1861060,1861060,,0,0
2001:370::/32,1861060,1861060,,0,0
2001:378::/32,1835841,1835841,,0,0
2001:380::/32,1861060,1861060,,0,0
2001:388::/33,2077456,2077456,,0,0
2001:388:8000::/34,2077456,2077456,,0,0
2001:388:c000::/35,2077456,2077456,,0,0
2001:388:e000::/36,2077456,2077456,,0,0
2001:388:f000::/49,1643084,2077456,,0,0
2001:388:f000:8000::/49,2077456,2077456,,0,0
2001:388:f001::/48,2077456,2077456,,0,0
2001:388:f002::/47,2077456,2077456,,0,0
2001:388:f004::/46,2077456,2077456,,0,0
2001:388:f008::/45,2077456,2077456,,0,0
2001:388:f010::/44,2077456,2077456,,0,0
2001:388:f020::/43,2077456,2077456,,0,0
2001:388:f040::/42,2077456,2077456,,0,0
2001:388:f080::/41,2077456,2077456,,0,0
2001:388:f100::/40,2077456,2077456,,0,0
2001:388:f200::/39,2077456,2077456,,0,0
2001:388:f400::/38,2077456,2077456,,0,0
2001:388:f800::/37,2077456,2077456,,0,0
2001:390::/32,1835841,1835841,,0,0
2001:398::/32,1861060,1861060,,0,0
2001:3a0::/32,1861060,1861060,,0,0
2001:3a8::/32,1835841,1835841,,0,0
2001:3b0::/32,1861060,1861060,,0,0
2001:3b8::/32,1861060,1861060,,0,0
2001:3c0::/35,1861060,1861060,,0,0
2001:3c8::/32,1605651,1605651,,0,0
2001:3d0::/32,1861060,1861060,,0,0
2001:3d8::/32,1861060,1861060,,0,0
2001:3e0::/32,1861060,1861060,,0,0
2001:3e8::/32,1861060,1861060,,0,0
2001:400::/32,6252001,6252001,,0,0
2001:408::/32,6252001,6252001,,0,0
2001:410::/32,6251999,6251999,,0,0
2001:418::/32,6252001,6252001,,0,0
2001:420::/34,6252001,6252001,,0,0
2001:420:4000::/38,2750405,6252001,,0,0
2001:420:4400::/41,2750405,6252001,,0,0
2001:420:4480::/45,294640,6252001,,0,0
2001:420:4488::/45,2750405,6252001,,0,0
2001:420:4490::/44,2750405,6252001,,0,0
2001:420:44a0::/43,2750405,6252001,,0,0
2001:420:44c0::/42,2750405,6252001,,0,0
2001:420:4500::/40,2750405,6252001,,0,0
2001:420:4600::/39,2750405,6252001,,0,0
2001:420:4800::/37,2750405,6252001,,0,0
2001:420:5000::/39,2077456,6252001,,0,0
2001:420:5200::/42,6252001,6252001,,0,0
2001:420:5240::/48,6252001,6252001,,0,0
2001:420:5241::/49,1269750,6252001,,0,0
2001:420:5241:8000::/49,6252001,6252001,,0,0
2001:420:5242::/47,6252001,6252001,,0,0
2001:420:5244::/49,1269750,6252001,,0,0
2001:420:5244:8000::/49,6252001,6252001,,0,0
2001:420:5245::/48,6252001,6252001,,0,0
2001:420:5246::/49,1269750,6252001,,0,0
2001:420:5246:8000::/49,6252001,6252001,,0,0
2001:420:5247::/48,6252001,6252001,,0,0
2001:420:5248::/47,6252001,6252001,,0,0
2001:420:524a::/48,6252001,6252001,,0,0
2001:420:524b::/49,1269750,6252001,,0,0
2001:420:524b:8000::/49,6252001,6252001,,0,0
2001:420:524c::/49,1269750,6252001,,0,0
2001:420:524c:8000::/49,6252001,6252001,,0,0
2001:420:524d::/48,6252001,6252001,,0,0
2001:420:524e::/49,1269750,6252001,,0,0
2001:420:524e:8000::/49,6252001,6252001,,0,0
2001:420:524f::/49,1269750,6252001,,0,0
2001:420:524f:8000::/49,6252001,6252001,,0,0
2001:420:5250::/44,6252001,6252001,,0,0
2001:420:5260::/43,6252001,6252001,,0,0
2001:420:5280::/41,6252001,6252001,,0,0
2001:420:5300::/40,6252001,6252001,,0,0
